"Constituency Name","Status","Total Electorate","Total Valid Votes","Total Invalid Votes","Registered to Postal Vote","Postal votes received","Spoiled Postal Votes","Result","First Party","majority","con","lab","ld","brexit","green","snp","pc","dup","sf","sdlp","uup","alliance","other","MP fullname","majority percent","majority rank","turnout constituency","turnout region","turnout UK","turnout 2017","turnout diff","country_name","region_name","county name","constituency type"
"Aberavon","Data received",50750,31598,82,10318,8417,328,"Lab hold","Lab",10490,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,731,"Stephen Kinnock",0.3319830369,209,0.6226206897,0.6657210498,0.6731083108,0.6668002886,-0.044179599,"Wales","Wales","West Glamorgan","County"
"Aberconwy",,44699,31865,123,,,,"Con hold","Con",2034,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,"Robin Millar",0.0638317904,569,0.7128794828,0.6657210498,0.6731083108,0.7104815363,0.0023979464,"Wales","Wales","Clwyd","County"
"Aberdeen North",,62489,37413,72,,,,"SNP hold","SNP",12670,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,"Kirsty Blackman",0.3386523401,202,0.5987133736,0.6807359681,0.6731083108,0.591614357,0.0070990166,"Scotland","Scotland","Scotland","Borough"
"Aberdeen South",,65719,45638,131,,,,"SNP gain from Con","SNP",3990,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,"Stephen Flynn",0.0874271441,533,0.6944414857,0.6807359681,0.6731083108,0.6848870143,0.0095544714,"Scotland","Scotland","Scotland","Borough"
"Airdrie and Shotts",,64011,39772,91,,,,"SNP hold","SNP",5201,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,"Neil Gray",0.1307703912,459,0.6213307088,0.6807359681,0.6731083108,0.5924297696,0.0289009392,"Scotland","Scotland","Scotland","County"
"Aldershot","Data received",72617,47932,251,11668,9809,252,"Con hold","Con",16698,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,"Leo Docherty",0.3483685221,187,0.6600658248,0.7020660823,0.6731083108,0.6423463027,0.0177195221,"England","South East","Hampshire","Borough"
"Aldridge-Brownhills","Data received",60138,39342,152,8563,7327,116,"Con hold","Con",19836,27850,8014,2371,0,771,0,0,0,0,0,0,0,336,"Wendy Morton",0.5041939912,37,0.6541953507,0.6466253903,0.6731083108,0.6665507016,-0.0123553509,"England","West Midlands","West Midlands","Borough"
"Altrincham and Sale West",,73107,54763,173,,,,"Con hold","Con",6139,26311,20172,6036,0,1566,0,0,0,0,0,0,0,678,"Graham Brady",0.1121012362,488,0.7490801154,0.6562356075,0.6731083108,0.7209187993,0.0281613161,"England","North West","Greater Manchester","Borough"
"Alyn and Deeside",,62789,43008,121,,,,"Lab hold","Lab",213,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,"Mark Tami",0.004952567,644,0.6849607415,0.6657210498,0.6731083108,0.7103296145,-0.025368873,"Wales","Wales","Clwyd","County"
"Amber Valley",,69976,45567,151,,,,"Con hold","Con",16886,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,"Nigel Mills",0.370575197,157,0.6511804047,0.671701752,0.6731083108,0.6730478219,-0.0218674172,"England","East Midlands","Derbyshire","County"
"Angus",,63952,43170,92,,,,"SNP gain from Con","SNP",3795,17421,2051,2482,0,0,21216,0,0,0,0,0,0,0,"Dave Doogan",0.0879082696,530,0.6750375281,0.6807359681,0.6731083108,0.6295739348,0.0454635933,"Scotland","Scotland","Scotland","County"
"Arfon","Data received",42215,29074,92,7469,6369,110,"PC hold","PC",2781,4428,10353,0,1159,0,0,13134,0,0,0,0,0,0,"Hywel Williams",0.095652473,521,0.6887125429,0.6657210498,0.6731083108,0.6818961975,0.0068163455,"Wales","Wales","Gwynedd","County"
"Argyll and Bute",,66525,48050,142,,,,"SNP hold","SNP",4110,16930,3248,6832,0,0,21040,0,0,0,0,0,0,0,"Brendan O'Hara",0.0855359001,537,0.7222848553,0.6807359681,0.6731083108,0.7149933066,0.0072915488,"Scotland","Scotland","Scotland","County"
"Arundel and South Downs",,81726,61408,287,,,,"Con hold","Con",22521,35566,9722,13045,0,2519,0,0,0,0,0,0,0,556,"Andrew Griffith",0.3667437467,160,0.7513887869,0.7020660823,0.6731083108,0.7581469086,-0.0067581217,"England","South East","West Sussex","County"
"Ashfield","Refused by Ashfield Council",78204,48980,118,,,,"Con gain from Lab","Con",5733,19231,11971,1105,2501,674,0,0,0,0,0,0,0,13498,"Lee Anderson",0.1170477746,478,0.6263106746,0.671701752,0.6731083108,0.6403120037,-0.014001329,"England","East Midlands","Nottinghamshire","County"
"Ashford","response received - they've passed on to relevant dept but advised they are not obliged to provide this info",89553,60059,279,,,,"Con hold","Con",24029,37270,13241,6048,0,2638,0,0,0,0,0,0,0,862,"Damian Green",0.4000899116,126,0.6706531328,0.7020660823,0.6731083108,0.6852163365,-0.0145632037,"England","South East","Kent","County"
"Ashton-Under-Lyne","Refused by Tameside Metropolitan Borough Council",67978,38579,125,,,,"Lab hold","Lab",4263,14281,18544,1395,3151,1208,0,0,0,0,0,0,0,0,"Angela Rayner",0.1105005314,490,0.5675218453,0.6562356075,0.6731083108,0.6049033475,-0.0373815022,"England","North West","Greater Manchester","Borough"
"Aylesbury",,86665,60576,279,,,,"Con hold","Con",17373,32737,15364,10081,0,2394,0,0,0,0,0,0,0,0,"Rob Butler",0.2867967512,264,0.6989672878,0.7020660823,0.6731083108,0.712124149,-0.0131568611,"England","South East","Buckinghamshire","County"
"Ayr, Carrick and Cumnock",,71970,46592,138,,,,"SNP gain from Con","SNP",2329,17943,6219,2158,0,0,20272,0,0,0,0,0,0,0,"Allan Dorans",0.0499871223,584,0.6473808531,0.6807359681,0.6731083108,0.6488117797,-0.0014309266,"Scotland","Scotland","Scotland","County"
"Banbury",,90116,62921,355,,,,"Con hold","Con",16813,34148,17335,8831,0,2607,0,0,0,0,0,0,0,0,"Victoria Prentis",0.2672080863,286,0.6982222913,0.7020660823,0.6731083108,0.7344197366,-0.0361974453,"England","South East","Oxfordshire","County"
"Banff and Buchan",,66655,42260,96,,,,"Con hold","Con",4118,21182,1734,2280,0,0,17064,0,0,0,0,0,0,0,"David Duguid",0.0974443919,515,0.6340109519,0.6807359681,0.6731083108,0.6160115975,0.0179993545,"Scotland","Scotland","Scotland","County"
"Barking",,77953,44499,120,,,,"Lab hold","Lab",15427,11792,27219,1482,3186,820,0,0,0,0,0,0,0,0,"Margaret Hodge",0.3466819479,192,0.5708439701,0.6746963605,0.6731083108,0.6190309262,-0.0481869561,"England","London","London","Borough"
"Barnsley Central","Data received",65277,36903,105,11181,8622,105,"Lab hold","Lab",3571,7892,14804,1176,11233,900,0,0,0,0,0,0,0,898,"Daniel Jarvis",0.0967672005,518,0.565329289,0.6434715273,0.6731083108,0.6087938446,-0.0434645556,"England","Yorkshire and The Humber","South Yorkshire","Borough"
"Barnsley East","Data received",69504,38070,110,11701,9474,110,"Lab hold","Lab",3217,10377,14329,1330,11112,922,0,0,0,0,0,0,0,0,"Stephanie Peacock",0.0845022327,538,0.5477382597,0.6434715273,0.6731083108,0.5891293669,-0.0413911072,"England","Yorkshire and The Humber","South Yorkshire","County"
"Barrow and Furness",,70158,46046,92,,,,"Con gain from Lab Coop","Con",5789,23876,18087,2025,1355,703,0,0,0,0,0,0,0,0,"Simon Fell",0.125722104,464,0.6563185952,0.6562356075,0.6731083108,0.6850044621,-0.0286858669,"England","North West","Cumbria","County"
"Basildon and Billericay","Data received",69906,44128,185,8524,7062,153,"Con hold","Con",20412,29590,9178,3741,0,1395,0,0,0,0,0,0,0,224,"John Baron",0.4625634518,60,0.6312476754,0.682459959,0.6731083108,0.649582785,-0.0183351096,"England","East","Essex","Borough"
"Basingstoke","FOI request sent to Basingstoke and Deane Borough Council. Awaiting response.",82928,54713,244,,,,"Con hold","Con",14198,29593,15395,6841,0,2138,0,0,0,0,0,0,0,746,"Maria Miller",0.2594995705,296,0.6597650974,0.7020660823,0.6731083108,0.683480916,-0.0237158186,"England","South East","Hampshire","Borough"
"Bassetlaw",,80024,50841,211,,,,"Con gain from Lab","Con",14013,28078,14065,3332,5366,0,0,0,0,0,0,0,0,0,"Brendan Clarke-Smith",0.2756240042,276,0.6353219034,0.671701752,0.6731083108,0.6652661064,-0.029944203,"England","East Midlands","Nottinghamshire","County"
"Bath","FOI request sent to Bath and North East Somerset Council. Awaiting response.",67805,52138,192,,,,"LD hold","LD",12322,16097,6639,28419,642,0,0,0,0,0,0,0,0,341,"Wera Hobhouse",0.2363343435,329,0.7689403436,0.7201911041,0.6731083108,0.7425050166,0.026435327,"England","South West","Avon","Borough"
"Batley and Spen",,79558,52927,104,,,,"Lab hold","Lab",3525,19069,22594,2462,1678,692,0,0,0,0,0,0,0,6432,"Tracy Brabin",0.0666011677,565,0.6652630785,0.6434715273,0.6731083108,0.6708998141,-0.0056367356,"England","Yorkshire and The Humber","West Yorkshire","Borough"
"Battersea",,79350,59977,157,,,,"Lab hold","Lab",5668,21622,27290,9150,386,1529,0,0,0,0,0,0,0,0,"Marsha De Cordova",0.0945028928,524,0.7558538122,0.6746963605,0.6731083108,0.7097481115,0.0461057007,"England","London","London","Borough"
